Category,Product Name
American,BK Veggie Burger Combo
American,BK Chicken Burger Combo
American,Whopper Jr Veg Combo
American,Whopper Jr Chicken Combo
American,Veg Whopper Combo
American,Chicken Whopper Combo
American,Hot 'N' Saucy Burger Combo
American,Fiery Chicken Burger Combo
American,Paneer Royale Burger Combo
American,Chicken Tandoori Burger Combo
American,Mutton Whopper - Combo
American,Fiery Hell Dip
American,(4Pc) Crunchy Chicken Nuggets
American,BK Pizza Puff
American,(6Pc) Crunchy Chicken Nuggets + 1 Dip
American,(9Pc) Crunchy Chicken Nuggets + 2 Dips
American,Hashbrown
American,Peri Peri Spice Mix
American,(18Pcs) Crunchy Chicken Nuggets + 3 Dips
American,Veggie Strips(5 Pcs)
American,Medium Fries
American,King Fries
American,Medium Peri Peri Fries
American,King Peri Peri Fries
American,Saucy Fries
American,Peri Peri Fries
American,Coca Cola Medium
American,Fanta Medium
American,Sprite Medium
American,Chocolate Thick Shake
American,Mango Thick Shake
American,Berry Blast Thick Shake
American,Choco Lava Cup
American,Chocolate Mousse Cup
American,Chicken Wings Fried - Two Pieces
American,Chicken Wings Grilled - Two Pieces
American,Boneless Wings Regular
American,Chicken Wings Grilled - Four Pieces
American,Chicken Wings Fried - Four Pieces
American,Boneless Wings Large
American,Chicken Wings Grilled - Ten Pieces
American,Chicken Wings - Five Pcs Fried + Five Pcs Grilled
American,Chicken Wings Fried - Ten Pieces
American,Chicken Wings Fried - Fifteen Pieces
American,Chicken Wings Grilled - Fifteen Pieces
Afghani,Singhs Special Butter Chicken [boneless]
Afghani,Butter Paneer Masala
Afghani,Dal Makhani [300ml]+ Choose Your Bread
Afghani,Kadhai Paneer [300ml] + Choose Your Bread
Afghani,Paneer Lababdar [300ml]+ Choose Your Bread
Afghani,Mushroom Tikka [full]
Afghani,Veg Seekh Kebab [6 Pcs]
Afghani,Paneer 65
Afghani,Soya Afghani Tikka
Afghani,Paneer Afghani Tikka
Afghani,Soya 65 [full]
Afghani,Tandoori Chicken - Singh Special
Afghani,Chicken Malai Tikka
Afghani,Dal Makhani
Afghani,Kadhai Paneer
Afghani,Paneer Lababdar
Afghani,Mix Vegetables
Afghani,Kadhai Soya Chaap Tikka
Afghani,Home Style Chicken Curry
Afghani,Kadhai Chicken [boneless]
Afghani,Chilli Chicken
Afghani,Chilli Mushroom
Afghani,Chilli Paneer
Afghani,Butter Chicken Masala [with Bone]
Afghani,Pandara Road Butter Chicken [with Bone]
Afghani,Singhs Special Butter Chicken [with Bone]
Afghani,Smoky Butter Chicken [with Bone]
Afghani,West Delhi Chatpata Butter Chicken [with Bone]
Afghani,Sharaabi Butter Chicken [with Bone]
Afghani,Nri Butter Chicken [with Bone]
Afghani,Singhs Special Butter Chicken [boneless]
Afghani,Pandara Road Butter Chicken [boneless]
Afghani,Butter Chicken Masala [boneless]
Afghani,Smoky Butter Chicken [boneless]
Afghani,West Delhi Chatpata Butter Chicken [boneless]
Afghani,Sharaabi Butter Chicken [boneless]
Afghani,Nri Butter Chicken [boneless]
Afghani,Singhs Special Butter Soya Chaap
Afghani,Butter Soya Chaap Masala
Afghani,West Delhi Chatpata Butter Soya Chaap
Afghani,Sharaabi Butter Soya Chaap
Afghani,Nri Butter Soya Chaap
Afghani,Smoky Butter Soya Chaap
Afghani,Pandara Road Butter Soya Chaap
